age,d18O,Ca2
16520,-40.37,239.95
16540,-40.37,239.95
16540,-41.69,272.01
16560,-41.69,272.01
16560,-41.5,337.71
16580,-41.5,337.71
16580,-40.6,289.29
16600,-40.6,289.29
16600,-42.78,288.55
16620,-42.78,288.55
16620,-42.79,287.04
16640,-42.79,287.04
16640,-40.88,239.74
16660,-40.88,239.74
16660,-41.56,274.67
16680,-41.56,274.67
16680,-40.65,298.52
16700,-40.65,298.52
16700,-42.7,317.66
16720,-42.7,317.66
16720,-39.38,223.29
16740,-39.38,223.29
16740,-40.73,318.36
16760,-40.73,318.36
16760,-41.77,319.64
16780,-41.77,319.64
16780,-40.93,262.37
16800,-40.93,262.37
16800,-39.27,257.54
16820,-39.27,257.54
16820,-40.63,265.41
16840,-40.63,265.41
16840,-39.46,207
16860,-39.46,207
16860,-40.34,247.94
16880,-40.34,247.94
16880,-40.3,287.36
16900,-40.3,287.36
16900,-42.12,271.1
16920,-42.12,271.1
16920,-41.22,326.54
16940,-41.22,326.54
16940,-42.42,305.46
16960,-42.42,305.46
16960,-40.7,325.25
16980,-40.7,325.25
16980,-42.11,336.08
17000,-42.11,336.08
17000,-40.4,249.89
17020,-40.4,249.89
17020,-42.28,283.8
17040,-42.28,283.8
17040,-39.99,278.92
17060,-39.99,278.92
17060,-39.76,266.35
17080,-39.76,266.35
17080,-38.99,257.15
17100,-38.99,257.15
17100,-42.38,297.53
17120,-42.38,297.53
17120,-39.84,278.24
17140,-39.84,278.24
17140,-40.22,235.63
17160,-40.22,235.63
17160,-40.5,249.08
17180,-40.5,249.08
17180,-40.55,318.07
17200,-40.55,318.07
17200,-40.18,356.79
17220,-40.18,356.79
17220,-41.24,271.02
17240,-41.24,271.02
17240,-42.24,315.14
17260,-42.24,315.14
17260,-39.82,253.24
17280,-39.82,253.24
17280,-39.79,256.74
17300,-39.79,256.74
17300,-41.55,358.37
17320,-41.55,358.37
17320,-40.57,369.05
17340,-40.57,369.05
17340,-40.66,282.21
17360,-40.66,282.21
17360,-39.93,329.99
17380,-39.93,329.99
17380,-41.25,382.85
17400,-41.25,382.85
17400,-42.96,405.24
17420,-42.96,405.24
17420,-42.37,406.27
17440,-42.37,406.27
17440,-41.53,296.41
17460,-41.53,296.41
17460,-40.75,358.21
17480,-40.75,358.21
17480,-40.74,285.9
17500,-40.74,285.9
17500,-41.43,318
17520,-41.43,318
17520,-41.23,277.15
17540,-41.23,277.15
17540,-38.88,264.77
17560,-38.88,264.77
17560,-40.45,224.88
17580,-40.45,224.88
17580,-41.87,248.32
17600,-41.87,248.32
17600,-39.58,273.38
17620,-39.58,273.38
17620,-39.7,221.12
17640,-39.7,221.12
17640,-40.89,233.01
17660,-40.89,233.01
17660,-40.05,175.46
17680,-40.05,175.46
17680,-40.7,181.2
17700,-40.7,181.2
17700,-42.52,251.68
17720,-42.52,251.68
17720,-41.38,178.03
17740,-41.38,178.03
17740,-41.31,187.62
17760,-41.31,187.62
17760,-41.04,186.02
17780,-41.04,186.02
17780,-40.89,144.14
17800,-40.89,144.14
17800,-38.95,140.86
17820,-38.95,140.86
17820,-41.46,198.76
17840,-41.46,198.76
17840,-42.38,255.05
17860,-42.38,255.05
17860,-43.39,211.93
17880,-43.39,211.93
17880,-41.12,239.45
17900,-41.12,239.45
17900,-40.93,201.02
17920,-40.93,201.02
17920,-42.51,332.82
17940,-42.51,332.82
17940,-41.74,208.68
17960,-41.74,208.68
17960,-43.52,265.91
17980,-43.52,265.91
17980,-42.27,275.03
18000,-42.27,275.03
18000,-42.68,311.11
18020,-42.68,311.11
18020,-41.85,295.43
18040,-41.85,295.43
18040,-40.51,245.91
18060,-40.51,245.91
18060,-42.83,187.27
18080,-42.83,187.27
18080,-42.84,214.4
18100,-42.84,214.4
18100,-42.81,231.43
18120,-42.81,231.43
18120,-42.97,205.15
18140,-42.97,205.15
18140,-40.59,206.19
18160,-40.59,206.19
18160,-40.68,177.72
18180,-40.68,177.72
18180,-40.98,234.55
18200,-40.98,234.55
18200,-42.29,257.67
18220,-42.29,257.67
18220,-41.83,231.68
18240,-41.83,231.68
18240,-41.63,238.06
18260,-41.63,238.06
18260,-44.37,228.28
18280,-44.37,228.28
18280,-42.14,237.46
18300,-42.14,237.46
18300,-40.73,190.02
18320,-40.73,190.02
18320,-43.79,262.1
18340,-43.79,262.1
18340,-42.43,168.74
18360,-42.43,168.74
18360,-43.01,250.12
18380,-43.01,250.12
18380,-42.34,218.45
18400,-42.34,218.45
18400,-41.91,170.02
18420,-41.91,170.02
18420,-42.1,184.17
18440,-42.1,184.17
18440,-42.26,154.33
18460,-42.26,154.33
18460,-42.84,192.04
18480,-42.84,192.04
18480,-40.04,158.59
18500,-40.04,158.59
18500,-42.21,215.9
18520,-42.21,215.9
18520,-41.73,143.67
18540,-41.73,143.67
18540,-39.91,142.82
18560,-39.91,142.82
18560,-40.94,185.8
18580,-40.94,185.8
18580,-42.87,191.35
18600,-42.87,191.35
18600,-41.4,181.95
18620,-41.4,181.95
18620,-40.38,188.51
18640,-40.38,188.51
18640,-40.96,186.09
18660,-40.96,186.09
18660,-40.11,176.22
18680,-40.11,176.22
18680,-41.72,214.06
18700,-41.72,214.06
18700,-41.08,213.45
18720,-41.08,213.45
18720,-41.03,213.92
18740,-41.03,213.92
18740,-42.67,220.98
18760,-42.67,220.98
18760,-42.23,175.36
18780,-42.23,175.36
18780,-41.44,171.86
18800,-41.44,171.86
18800,-41.26,200.98
18820,-41.26,200.98
18820,-40.87,184.8
18840,-40.87,184.8
18840,-41.97,156.18
18860,-41.97,156.18
18860,-40.38,163.56
18880,-40.38,163.56
18880,-40.27,188.91
18900,-40.27,188.91
18900,-42.35,326.81
18920,-42.35,326.81
18920,-42.09,208.31
18940,-42.09,208.31
18940,-40.86,216.54
18960,-40.86,216.54
18960,-42.1,173.87
18980,-42.1,173.87
18980,-41.3,226.4
19000,-41.3,226.4
19000,-42.16,208.42
19020,-42.16,208.42
19020,-40.06,172.8
19040,-40.06,172.8
19040,-42.6,174.97
19060,-42.6,174.97
19060,-41.82,134.89
19080,-41.82,134.89
19080,-42.04,186.33
19100,-42.04,186.33
19100,-41.48,240.61
19120,-41.48,240.61
19120,-42.49,201.04
19140,-42.49,201.04
19140,-42.76,301.56
19160,-42.76,301.56
19160,-41.37,208.97
19180,-41.37,208.97
19180,-43.71,243.48
19200,-43.71,243.48
19200,-42.55,233.45
19220,-42.55,233.45
19220,-40.5,233.79
19240,-40.5,233.79
19240,-43.76,202.17
19260,-43.76,202.17
19260,-41.24,192.89
19280,-41.24,192.89
19280,-42.71,236.41
19300,-42.71,236.41
19300,-40.43,165.56
19320,-40.43,165.56
19320,-41.26,135.47
19340,-41.26,135.47
19340,-41.7,136.67
19360,-41.7,136.67
19360,-41.73,156.88
19380,-41.73,156.88
19380,-42.88,171.9
19400,-42.88,171.9
19400,-43.08,194.8
19420,-43.08,194.8
19420,-42.34,222.44
19440,-42.34,222.44
19440,-40.83,185.51
19460,-40.83,185.51
19460,-41.37,168.67
19480,-41.37,168.67
19480,-42.16,178.01
19500,-42.16,178.01
19500,-41.37,185.48
19520,-41.37,185.48
19540,-40.95,162.62
19560,-40.95,162.62
19560,-42.53,204.15
19580,-42.53,204.15
19580,-40.46,176.69
19600,-40.46,176.69
19600,-40.85,221.72
19620,-40.85,221.72
19620,-40.88,164.08
19640,-40.88,164.08
19640,-41.82,212.87
19660,-41.82,212.87
19660,-39.93,185.28
19680,-39.93,185.28
19680,-41.51,232.33
19700,-41.51,232.33
19700,-42.02,205.38
19720,-42.02,205.38
19720,-41.47,268.89
19740,-41.47,268.89
19740,-41.37,193.78
19760,-41.37,193.78
19760,-41.63,264.87
19780,-41.63,264.87
19780,-42.81,254.57
19800,-42.81,254.57
19800,-43.04,272.73
19820,-43.04,272.73
19820,-41.38,210.16
19840,-41.38,210.16
19840,-40.2,161.32
19860,-40.2,161.32
19860,-40.71,167.63
19880,-40.71,167.63
19880,-41.41,307.13
19900,-41.41,307.13
19900,-40.66,224.09
19920,-40.66,224.09
19920,-41.6,159.4
19940,-41.6,159.4
19940,-42.6,217.91
19960,-42.6,217.91
19960,-42.16,201.31
19980,-42.16,201.31
19980,-42.64,252.23
20000,-42.64,252.23
20000,-42.01,222.31
20020,-42.01,222.31
20020,-41.64,189.26
20040,-41.64,189.26
20040,-42.77,269.87
20060,-42.77,269.87
20060,-42.71,254.44
20080,-42.71,254.44
20080,-41.33,282.02
20100,-41.33,282.02
20100,-42.67,215.69
20120,-42.67,215.69
20120,-41.99,207.49
20140,-41.99,207.49
20140,-42.62,188.64
20160,-42.62,188.64
20160,-42.18,159.38
20180,-42.18,159.38
20180,-42.79,182.73
20200,-42.79,182.73
20200,-40.35,151.07
20220,-40.35,151.07
20220,-41.41,153.01
20240,-41.41,153.01
20240,-42.48,183.83
20260,-42.48,183.83
20260,-42.52,227.96
20280,-42.52,227.96
20280,-41.9,223.56
20300,-41.9,223.56
20300,-42.4,158.25
20320,-42.4,158.25
20320,-43.15,202.61
20340,-43.15,202.61
20340,-41.89,180.31
20360,-41.89,180.31
20360,-43.09,251.67
20380,-43.09,251.67
20380,-44.55,279.46
20400,-44.55,279.46
20400,-42.45,301.75
20420,-42.45,301.75
20420,-43.2,332.02
20440,-43.2,332.02
20440,-43.51,221.22
20460,-43.51,221.22
20460,-42.01,217.6
20480,-42.01,217.6
20480,-41.93,230.45
20500,-41.93,230.45
20500,-43.2,204.04
20520,-43.2,204.04
20520,-43.36,231.71
20540,-43.36,231.71
20540,-44.96,307.72
20560,-44.96,307.72
20560,-42.54,212.73
20580,-42.54,212.73
20580,-42.01,196.06
